match_id,team1_name,team1_average_distance,team1_recovery_passes,team1_throw_in_passes,team1_free_kick_passes,team1_corner_passes,team1_goal_kick_passes,team1_interception_passes,team1_kick_off_passes,team1_through_ball_percentage,team1_pass_completion_rate,team1_avg_passes_per_player,team1_most_advanced_player,team1_number_of_passes_received,team1_avg_x_position_non_gk,team1_avg_links,team1_avg_pass_distance,team1_avg_backline_distance,team1_avg_front_three_distance,team1_avg_time_between_passes,team1_avg_passes_per_possession,team1_betti_0,team1_betti_1,team2_name,team2_average_distance,team2_recovery_passes,team2_throw_in_passes,team2_free_kick_passes,team2_corner_passes,team2_goal_kick_passes,team2_interception_passes,team2_kick_off_passes,team2_through_ball_percentage,team2_pass_completion_rate,team2_avg_passes_per_player,team2_most_advanced_player,team2_number_of_passes_received,team2_avg_x_position_non_gk,team2_avg_links,team2_avg_pass_distance,team2_avg_backline_distance,team2_avg_front_three_distance,team2_avg_time_between_passes,team2_avg_passes_per_possession,team2_betti_0,team2_betti_1,match_outcome
69225,Barcelona,0.5487638102935728,0.09931506849315068,0.0410958904109589,0.032534246575342464,0.018835616438356163,0.008561643835616438,0.003424657534246575,0.0017123287671232876,2.5684931506849313,81.84931506849315,44.92307692307692,Thierry Henry,47,0.5534174041297936,8.307692307692308,0.22480111390103846,0.4208461911951512,0.6890277777777779,3.8505225647398604,4.5984251968503935,1,50,Real Madrid,0.6497966942958443,0.16774193548387098,0.06774193548387097,0.05161290322580645,0.012903225806451613,0.03225806451612903,0.01935483870967742,0.00967741935483871,1.935483870967742,63.54838709677419,22.142857142857142,Miguel Palanca Fernández,19,0.45876325088339226,7.071428571428571,0.24505080198543827,0.4208461911951512,0.6890277777777779,3.686673385416667,2.719298245614035,1,54,team1_wins
69212,Barcelona,0.5713022975150953,0.045531197301854974,0.03035413153456998,0.02866779089376054,0.008431703204047217,0.003372681281618887,0.008431703204047217,0.003372681281618887,0.5059021922428331,85.83473861720068,42.357142857142854,Thierry Henry,19,0.5324712643678161,9.071428571428571,0.21460165623152502,0.4208461911951512,0.6890277777777779,3.234646019864783,5.342342342342342,1,62,Atlético Madrid,0.6354915517434601,0.06588235294117648,0.04470588235294118,0.042352941176470586,0.002352941176470588,0.01647058823529412,0.01411764705882353,0.01647058823529412,0.0,81.41176470588235,30.357142857142858,Florent Sinama-Pongolle,51,0.4702420033670034,9.928571428571429,0.21375462822686955,0.4208461911951512,0.6890277777777779,3.3563500878625883,4.086538461538462,1,67,team1_wins
69235,Málaga,0.6278986426412224,0.2214765100671141,0.10738255033557047,0.08053691275167785,0.003355704697986577,0.03355704697986577,0.013422818791946308,0.016778523489932886,0.0,47.651006711409394,21.285714285714285,Sérgio Paulo Barbosa Valente,35,0.5107014388489209,6.071428571428571,0.25683433148578555,0.4208461911951512,0.6890277777777779,4.852530349794239,2.257575757575758,1,46,Barcelona,0.6066217110955285,0.2074468085106383,0.11702127659574468,0.0425531914893617,0.010638297872340425,0.02127659574468085,0.015957446808510637,0.005319148936170213,0.0,53.98936170212766,26.857142857142858,Bojan Krkíc Pérez,9,0.520929307116105,7.642857142857143,0.21809361230574542,0.4208461911951512,0.6890277777777779,3.734752516453736,2.647887323943662,1,57,team2_wins
69232,Barcelona,0.5337476123687772,0.043209876543209874,0.029320987654320986,0.024691358024691357,0.009259259259259259,0.006172839506172839,0.0030864197530864196,0.0015432098765432098,0.4629629629629629,88.73456790123457,46.285714285714285,Samuel Eto''o Fils,47,0.5724265091863517,9.357142857142858,0.21002652944591002,0.4208461911951512,0.6890277777777779,3.4341160890209608,6.352941176470588,1,64,Almería,0.6294491926731774,0.0701219512195122,0.042682926829268296,0.057926829268292686,0.018292682926829267,0.021341463414634148,0.009146341463414634,0.018292682926829267,0.3048780487804878,75.60975609756098,23.428571428571427,Albert Crusat Domene,24,0.5015504535147391,7.428571428571429,0.23602282836610314,0.4208461911951512,0.6890277777777779,3.8465564674803314,3.3469387755102042,1,52,team1_wins
69216,Barcelona,0.595450228273282,0.07108239095315025,0.029079159935379646,0.048465266558966075,0.008077544426494346,0.009693053311793215,0.0016155088852988692,0.0016155088852988692,0.6462035541195477,84.16801292407108,47.61538461538461,Thierry Henry,42,0.5168387372013651,8.307692307692308,0.24655623195080034,0.4208461911951512,0.6890277777777779,3.7009683676002134,5.4298245614035086,1,49,Athletic Club,0.6487602235083593,0.0946372239747634,0.0473186119873817,0.05993690851735016,0.0031545741324921135,0.031545741324921134,0.006309148264984227,0.00946372239747634,0.9463722397476341,70.03154574132492,22.642857142857142,Markel Susaeta Laskurain,25,0.4836732851985559,7.785714285714286,0.2634402002907046,0.4208461911951512,0.6890277777777779,3.6518637495837494,2.9626168224299065,1,61,team1_wins
69209,Racing Santander,0.6736688506670678,0.12131147540983607,0.07213114754098361,0.04262295081967213,0.006557377049180328,0.02622950819672131,0.02622950819672131,0.009836065573770493,0.9836065573770493,67.8688524590164,21.785714285714285,Antonio Moral Segura,20,0.4466484184914842,7.285714285714286,0.24569863133110462,0.4208461911951512,0.6890277777777779,3.68096052221283,2.8773584905660377,1,55,Barcelona,0.6068660031084842,0.0694645441389291,0.0361794500723589,0.027496382054992764,0.004341534008683068,0.010130246020260492,0.004341534008683068,0.002894356005788712,0.723589001447178,85.67293777134589,53.15384615384615,Lionel Andrés Messi Cuccittini,32,0.4971644042232278,8.76923076923077,0.2179042948627201,0.4208461911951512,0.6890277777777779,3.3431729961741214,5.195488721804511,1,51,team2_wins
69231,Barcelona,0.5446271354027502,0.059219380888290714,0.03230148048452221,0.02557200538358008,0.009421265141318977,0.006729475100942127,0.004037685060565276,0.0026917900403768506,0.13458950201884254,87.21399730820995,53.07142857142857,Thierry Henry,58,0.5619140083217753,8.214285714285714,0.22372305779141075,0.4208461911951512,0.6890277777777779,3.5288614442281454,5.850393700787402,1,56,Sporting Gijón,0.6423620685962598,0.15162454873646208,0.061371841155234655,0.05054151624548736,0.007220216606498195,0.05776173285198556,0.010830324909747292,0.01444043321299639,0.0,60.28880866425993,19.785714285714285,Enrique Mateo Montoya,8,0.4615707671957672,6.357142857142857,0.23121142298210606,0.4208461911951512,0.6890277777777779,3.3205045454545457,2.518181818181818,1,49,team1_wins
69217,Barcelona,0.567863956130322,0.06643356643356643,0.03671328671328671,0.03496503496503497,0.006993006993006993,0.005244755244755245,0.008741258741258742,0.006993006993006993,0.6993006993006993,84.44055944055944,40.857142857142854,Lionel Andrés Messi Cuccittini,75,0.5394897342995169,7.428571428571429,0.21359730310506386,0.4208461911951512,0.6890277777777779,3.5872029516213075,5.247706422018348,1,46,Villarreal,0.6036087337905209,0.08747044917257683,0.0425531914893617,0.04728132387706856,0.0,0.02127659574468085,0.0,0.0070921985815602835,0.2364066193853428,76.12293144208037,30.214285714285715,Matías Ariel Fernández Fernández,13,0.5019744556113903,8.785714285714286,0.21151994424424486,0.4208461911951512,0.6890277777777779,3.6153456663689885,3.9166666666666665,1,61,draw
69273,Real Valladolid,0.6201834654136082,0.1880597014925373,0.08059701492537313,0.03880597014925373,0.011940298507462687,0.023880597014925373,0.0,0.005970149253731343,0.2985074626865672,64.77611940298507,23.928571428571427,Damián Ariel Escudero,20,0.5050878594249202,7.428571428571429,0.24873487993016963,0.4208461911951512,0.6890277777777779,4.8361687323225295,3.018018018018018,1,56,Barcelona,0.595450505701978,0.08637873754152824,0.04983388704318937,0.04318936877076412,0.006644518272425249,0.014950166112956811,0.0,0.0016611295681063123,1.3289036544850499,80.73089700996677,43.0,Pedro Eliezer Rodríguez Ledesma,33,0.5291740543735224,9.214285714285714,0.23699170862401747,0.4208461911951512,0.6890277777777779,3.3972464752698297,4.975206611570248,1,61,team2_wins
69222,Barcelona,0.5573463061159054,0.08169934640522876,0.03758169934640523,0.024509803921568627,0.024509803921568627,0.006535947712418301,0.0,0.0016339869281045752,1.6339869281045754,83.33333333333334,43.714285714285715,Bojan Krkíc Pérez,35,0.5755612535612535,9.214285714285714,0.24806796248648547,0.4208461911951512,0.6890277777777779,3.5300317803592027,4.935483870967742,1,61,Recreativo Huelva,0.6570769877629569,0.07894736842105263,0.03508771929824561,0.043859649122807015,0.011695906432748537,0.04093567251461988,0.005847953216374269,0.008771929824561403,0.8771929824561403,73.09941520467837,26.307692307692307,Kanga Gauthier Akalé,6,0.4706567328918322,7.846153846153846,0.2443794600693031,0.4208461911951512,0.6890277777777779,3.7666895330112724,3.6382978723404253,1,50,team1_wins
